step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
28,0.0001,,,1.21494,1.12e-05,0,0.962104
57,0.0017,,,1.00782,2.28e-05,0,0.534739
86,0.0034,,,0.947922,3.44e-05,0,0.446309
115,0.0051,,,0.864978,4.6e-05,0,0.38398
144,0.0067,,,0.734838,5.76e-05,0,0.55791
173,0.0084,,,0.631237,6.92e-05,0,1.11185
202,0.0101,,,0.549392,8.08e-05,0,1.31912
231,0.0117,,,0.49632,9.24e-05,0,0.404084
260,0.0134,,,0.481757,0.000104,0,0.498287
289,0.0150,,,0.43505,0.0001156,0,0.500647
318,0.0167,,,0.417024,0.0001272,0,0.340707
347,0.0183,,,0.38726,0.0001388,0,0.30001
376,0.0200,,,0.412463,0.0001504,0,0.311247
405,0.0216,,,0.410331,0.000162,0,0.659039
434,0.0233,,,0.354672,0.0001736,0,0.583762
453,0.0278,0.358492,0.636585,,,0,
463,0.0287,,,0.356845,0.0001852,1,0.456648
492,0.0303,,,0.368014,0.0001968,1,0.50509
521,0.0320,,,0.371229,0.0002084,1,0.507725
550,0.0336,,,0.337079,0.00022,1,0.581841
579,0.0352,,,0.368322,0.0002316,1,0.491801
608,0.0369,,,0.357905,0.0002432,1,0.307545
637,0.0385,,,0.329526,0.0002548,1,0.414983
666,0.0402,,,0.339618,0.0002664,1,0.436365
695,0.0418,,,0.344385,0.000278,1,0.375562
724,0.0434,,,0.334306,0.0002896,1,0.413223
753,0.0450,,,0.349337,0.0003012,1,0.411823
782,0.0467,,,0.365255,0.0003128,1,0.378334
811,0.0483,,,0.335099,0.0003244,1,0.419855
840,0.0499,,,0.334748,0.000336,1,0.38973
869,0.0515,,,0.326185,0.0003476,1,0.297427
898,0.0531,,,0.331793,0.0003592,1,0.336812
907,0.0570,0.325016,0.345489,,,1,
927,0.0585,,,0.327952,0.0003708,2,0.329116
956,0.0601,,,0.317594,0.0003824,2,0.269883
985,0.0618,,,0.324663,0.000394,2,0.258885
1014,0.0634,,,0.32862,0.000399999,2,0.323389
1043,0.0650,,,0.326307,0.000399988,2,0.253706
1072,0.0666,,,0.320706,0.000399968,2,0.261859
1101,0.0682,,,0.3396,0.000399937,2,0.409976
1130,0.0698,,,0.304405,0.000399895,2,0.216248
1159,0.0715,,,0.316057,0.000399843,2,0.280163
1188,0.0731,,,0.304959,0.00039978,2,0.322847
1217,0.0747,,,0.317019,0.000399707,2,0.222637
1246,0.0763,,,0.308372,0.000399624,2,0.258545
1275,0.0780,,,0.327275,0.00039953,2,0.434895
1304,0.0796,,,0.311797,0.000399426,2,0.245343
1333,0.0812,,,0.324546,0.000399311,2,0.320458
1361,0.0861,0.30721,0.320316,,,2,
1362,0.0866,,,0.308104,0.000399186,3,0.279929
1391,0.0882,,,0.319384,0.00039905,3,0.291564
1420,0.0899,,,0.317385,0.000398904,3,0.382798
1449,0.0916,,,0.29571,0.000398748,3,0.187005
1478,0.0933,,,0.320124,0.000398581,3,0.265449
1507,0.0950,,,0.309441,0.000398404,3,0.261706
1536,0.0967,,,0.305626,0.000398217,3,0.263035
1565,0.0984,,,0.314762,0.000398019,3,0.277214
1594,0.1000,,,0.320301,0.000397811,3,0.29325
1623,0.1017,,,0.298936,0.000397592,3,0.238132
1652,0.1033,,,0.310264,0.000397363,3,0.341538
1681,0.1050,,,0.305101,0.000397124,3,0.203659
1710,0.1066,,,0.304113,0.000396874,3,0.260053
1739,0.1082,,,0.303172,0.000396615,3,0.295251
1768,0.1098,,,0.313736,0.000396344,3,0.246343
1797,0.1115,,,0.319177,0.000396064,3,0.243195
1815,0.1159,0.301505,0.310639,,,3,
1826,0.1168,,,0.323627,0.000395773,4,0.20993
1855,0.1185,,,0.305741,0.000395473,4,0.184832
1884,0.1201,,,0.298709,0.000395162,4,0.209131
1913,0.1217,,,0.307136,0.00039484,4,0.200143
1942,0.1234,,,0.304331,0.000394509,4,0.201354
1971,0.1250,,,0.300987,0.000394167,4,0.207117
2000,0.1266,,,0.311058,0.000393815,4,0.261538
2029,0.1282,,,0.289976,0.000393454,4,0.182023
2058,0.1299,,,0.292806,0.000393082,4,0.257422
2087,0.1315,,,0.31879,0.000392699,4,0.201266
2116,0.1331,,,0.301801,0.000392307,4,0.21897
2145,0.1347,,,0.307142,0.000391905,4,0.324032
2174,0.1364,,,0.311826,0.000391493,4,0.155789
2203,0.1380,,,0.295429,0.00039107,4,0.237059
2232,0.1396,,,0.302675,0.000390638,4,0.231684
2261,0.1412,,,0.292627,0.000390196,4,0.170383
2269,0.1451,0.299431,0.305529,,,4,
2290,0.1466,,,0.290931,0.000389744,5,0.240939
2319,0.1483,,,0.291565,0.000389282,5,0.398542
2348,0.1499,,,0.319135,0.00038881,5,0.279338
2377,0.1515,,,0.309633,0.000388328,5,0.34853
2406,0.1531,,,0.293374,0.000387836,5,0.194115
2435,0.1548,,,0.305576,0.000387334,5,0.26678
2464,0.1564,,,0.297293,0.000386823,5,0.219915
2493,0.1580,,,0.316475,0.000386302,5,0.377997
2522,0.1596,,,0.330142,0.000385771,5,0.248579
2551,0.1613,,,0.318775,0.000385231,5,0.254341
2580,0.1629,,,0.320083,0.00038468,5,0.303859
2609,0.1645,,,0.327814,0.00038412,5,0.18466
2638,0.1662,,,0.326942,0.000383551,5,0.163308
2667,0.1678,,,0.326617,0.000382972,5,0.1798
2696,0.1694,,,0.314306,0.000382383,5,0.132989
2723,0.1743,0.310183,0.312754,,,5,
2725,0.1748,,,0.321821,0.000381785,6,0.140352
2754,0.1764,,,0.310034,0.000381177,6,0.175226
2783,0.1780,,,0.31111,0.00038056,6,0.300612
2812,0.1797,,,0.309276,0.000379933,6,0.154145
2841,0.1813,,,0.297717,0.000379297,6,0.191575
2870,0.1829,,,0.33376,0.000378652,6,0.204296
2899,0.1846,,,0.326978,0.000377997,6,0.301781
2928,0.1862,,,0.322683,0.000377333,6,0.195759
2957,0.1878,,,0.347537,0.00037666,6,0.259105
2986,0.1894,,,0.326731,0.000375977,6,0.171463
3015,0.1911,,,0.335291,0.000375285,6,0.212805
3044,0.1927,,,0.325857,0.000374584,6,0.157874
3073,0.1943,,,0.326837,0.000373874,6,0.199948
3102,0.1960,,,0.302595,0.000373155,6,0.137637
3131,0.1976,,,0.338541,0.000372427,6,0.216378
3160,0.1992,,,0.291473,0.00037169,6,0.255339
