step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
28,0.0001,,,1.21496,1.12e-05,0,0.962233
57,0.0018,,,1.00781,2.28e-05,0,0.536744
86,0.0035,,,0.947886,3.44e-05,0,0.443488
115,0.0053,,,0.864895,4.6e-05,0,0.380864
144,0.0070,,,0.734747,5.76e-05,0,0.553134
173,0.0088,,,0.630966,6.92e-05,0,1.09839
202,0.0105,,,0.548766,8.08e-05,0,1.28353
231,0.0123,,,0.496233,9.24e-05,0,0.367672
260,0.0140,,,0.481607,0.000104,0,0.473944
289,0.0157,,,0.434717,0.0001156,0,0.454746
318,0.0175,,,0.417195,0.0001272,0,0.367489
347,0.0192,,,0.387358,0.0001388,0,0.298645
376,0.0210,,,0.412519,0.0001504,0,0.329019
405,0.0227,,,0.410079,0.000162,0,0.642406
434,0.0244,,,0.35302,0.0001736,0,0.462661
453,0.0290,0.358438,0.636586,,,0,
463,0.0301,,,0.356022,0.0001852,1,0.330405
492,0.0318,,,0.36678,0.0001968,1,0.39239
521,0.0336,,,0.371531,0.0002084,1,0.554924
550,0.0353,,,0.337572,0.00022,1,0.620989
579,0.0370,,,0.368499,0.0002316,1,0.521669
608,0.0388,,,0.357816,0.0002432,1,0.300376
637,0.0405,,,0.329963,0.0002548,1,0.456709
666,0.0422,,,0.338756,0.0002664,1,0.399521
695,0.0439,,,0.344505,0.000278,1,0.384752
724,0.0457,,,0.333777,0.0002896,1,0.411589
753,0.0474,,,0.34957,0.0003012,1,0.472085
782,0.0491,,,0.367824,0.0003128,1,0.492477
811,0.0508,,,0.334307,0.0003244,1,0.402049
840,0.0525,,,0.334592,0.000336,1,0.382082
869,0.0542,,,0.32656,0.0003476,1,0.260027
898,0.0559,,,0.331718,0.0003592,1,0.301117
907,0.0600,0.32395,0.345404,,,1,
927,0.0616,,,0.329513,0.0003708,2,0.387389
956,0.0633,,,0.318552,0.0003824,2,0.311087
985,0.0650,,,0.325568,0.000394,2,0.322469
1014,0.0668,,,0.330183,0.000399999,2,0.379788
1043,0.0685,,,0.328021,0.000399988,2,0.374003
1072,0.0702,,,0.320385,0.000399968,2,0.232679
1101,0.0719,,,0.339629,0.000399937,2,0.417357
