step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
28,0.0001,,,1.3472,1.4e-06,0,1.42704
57,0.0018,,,1.25894,2.85e-06,0,1.30452
86,0.0035,,,1.20411,4.3e-06,0,0.81375
115,0.0052,,,1.17232,5.75e-06,0,0.69517
144,0.0069,,,1.08734,7.2e-06,0,0.52936
173,0.0086,,,1.04761,8.65e-06,0,0.461392
202,0.0103,,,0.992163,1.01e-05,0,0.37413
231,0.0120,,,0.934585,1.155e-05,0,0.339885
260,0.0137,,,0.942137,1.3e-05,0,0.336243
289,0.0154,,,0.850036,1.445e-05,0,0.334151
318,0.0171,,,0.819057,1.59e-05,0,0.399262
347,0.0188,,,0.755152,1.735e-05,0,0.339487
376,0.0204,,,0.766905,1.88e-05,0,0.605146
405,0.0221,,,0.731688,2.025e-05,0,0.55071
434,0.0237,,,0.625114,2.17e-05,0,0.566798
453,0.0282,0.609316,0.964214,,,0,
463,0.0292,,,0.61188,2.315e-05,1,0.747628
492,0.0308,,,0.583766,2.46e-05,1,0.436108
521,0.0325,,,0.572839,2.605e-05,1,0.87279
550,0.0341,,,0.5241,2.75e-05,1,0.903304
579,0.0357,,,0.549051,2.895e-05,1,0.630987
608,0.0374,,,0.503095,3.04e-05,1,0.75978
637,0.0390,,,0.46808,3.185e-05,1,0.523302
666,0.0407,,,0.465234,3.33e-05,1,1.36187
695,0.0423,,,0.458028,3.475e-05,1,0.581947
724,0.0440,,,0.437586,3.62e-05,1,1.0029
753,0.0456,,,0.457549,3.765e-05,1,0.256633
782,0.0472,,,0.480361,3.91e-05,1,0.866701
811,0.0488,,,0.423291,4.055e-05,1,0.570192
840,0.0504,,,0.418355,4.2e-05,1,0.890715
869,0.0521,,,0.399635,4.345e-05,1,0.236638
898,0.0536,,,0.412857,4.49e-05,1,0.982766
907,0.0576,0.391289,0.484684,,,1,
927,0.0591,,,0.416954,4.635e-05,2,1.0051
956,0.0607,,,0.387479,4.78e-05,2,0.493795
985,0.0623,,,0.391169,4.925e-05,2,0.73713
1014,0.0639,,,0.394216,4.99998e-05,2,0.611824
1043,0.0656,,,0.384643,4.99986e-05,2,0.286459
1072,0.0672,,,0.373022,4.9996e-05,2,0.338836
1101,0.0688,,,0.395806,4.99921e-05,2,0.627899
1130,0.0704,,,0.360074,4.99869e-05,2,0.655722
1159,0.0721,,,0.360825,4.99804e-05,2,0.262968
1188,0.0737,,,0.354307,4.99725e-05,2,0.396705
1217,0.0753,,,0.37924,4.99634e-05,2,0.395238
1246,0.0769,,,0.355797,4.9953e-05,2,0.226575
1275,0.0786,,,0.387305,4.99413e-05,2,0.986036
1304,0.0803,,,0.376484,4.99282e-05,2,0.37766
1333,0.0819,,,0.366263,4.99139e-05,2,0.258903
1361,0.0868,0.348778,0.374915,,,2,
1362,0.0873,,,0.351524,4.98982e-05,3,0.525848
1391,0.0890,,,0.357109,4.98813e-05,3,0.46611
1420,0.0906,,,0.354704,4.9863e-05,3,0.697107
1449,0.0923,,,0.336283,4.98435e-05,3,0.509575
1478,0.0939,,,0.357123,4.98227e-05,3,0.550519
1507,0.0956,,,0.349354,4.98005e-05,3,0.298366
1536,0.0973,,,0.338917,4.97771e-05,3,0.41708
1565,0.0990,,,0.34799,4.97523e-05,3,0.936093
1594,0.1007,,,0.355781,4.97263e-05,3,0.499685
1623,0.1024,,,0.33555,4.9699e-05,3,0.469815
1652,0.1041,,,0.341427,4.96704e-05,3,0.345095
1681,0.1057,,,0.329936,4.96405e-05,3,0.315416
1710,0.1073,,,0.340213,4.96093e-05,3,0.460177
1739,0.1090,,,0.328367,4.95768e-05,3,0.425608
1768,0.1106,,,0.343758,4.95431e-05,3,0.612676
1797,0.1122,,,0.361807,4.9508e-05,3,0.700541
1815,0.1166,0.330303,0.347439,,,3,
1826,0.1177,,,0.353828,4.94717e-05,4,0.407189
1855,0.1193,,,0.3369,4.94341e-05,4,0.499677
1884,0.1209,,,0.326785,4.93952e-05,4,0.377392
1913,0.1225,,,0.336864,4.9355e-05,4,0.864705
1942,0.1242,,,0.331798,4.93136e-05,4,0.433905
1971,0.1258,,,0.331878,4.92709e-05,4,0.479991
2000,0.1274,,,0.334503,4.92269e-05,4,0.549702
2029,0.1290,,,0.313244,4.91817e-05,4,0.204287
2058,0.1307,,,0.31917,4.91352e-05,4,0.823632
2087,0.1323,,,0.344117,4.90874e-05,4,0.335972
2116,0.1339,,,0.326333,4.90384e-05,4,0.301018
2145,0.1356,,,0.331476,4.89881e-05,4,0.267119
2174,0.1372,,,0.335956,4.89366e-05,4,0.390712
2203,0.1388,,,0.320465,4.88838e-05,4,0.281323
2232,0.1405,,,0.32745,4.88298e-05,4,0.432768
2261,0.1420,,,0.316339,4.87745e-05,4,0.635064
2269,0.1459,0.321794,0.333209,,,4,
2290,0.1475,,,0.31062,4.8718e-05,5,0.282285
2319,0.1491,,,0.323577,4.86602e-05,5,0.280301
2348,0.1507,,,0.338862,4.86012e-05,5,0.330013
