step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
28,0.0001,,,1.21496,1.12e-05,0,0.96219
57,0.0025,,,1.00781,2.28e-05,0,0.53678
86,0.0049,,,0.947888,3.44e-05,0,0.443274
115,0.0073,,,0.864897,4.6e-05,0,0.381187
144,0.0097,,,0.734757,5.76e-05,0,0.553848
173,0.0122,,,0.630968,6.92e-05,0,1.09781
202,0.0146,,,0.548721,8.08e-05,0,1.28018
231,0.0170,,,0.496217,9.24e-05,0,0.367383
260,0.0195,,,0.481632,0.000104,0,0.479169
289,0.0219,,,0.434766,0.0001156,0,0.4641
318,0.0243,,,0.417176,0.0001272,0,0.365323
347,0.0267,,,0.38734,0.0001388,0,0.299277
376,0.0292,,,0.412471,0.0001504,0,0.324409
405,0.0316,,,0.410239,0.000162,0,0.652204
434,0.0340,,,0.352934,0.0001736,0,0.452238
453,0.0404,0.358431,0.636577,,,0,
463,0.0416,,,0.35603,0.0001852,1,0.339703
492,0.0440,,,0.366843,0.0001968,1,0.402069
521,0.0464,,,0.37134,0.0002084,1,0.541935
550,0.0488,,,0.33762,0.00022,1,0.620215
579,0.0512,,,0.368565,0.0002316,1,0.528877
608,0.0536,,,0.35786,0.0002432,1,0.304706
637,0.0561,,,0.330041,0.0002548,1,0.461006
666,0.0585,,,0.338633,0.0002664,1,0.389205
695,0.0609,,,0.344525,0.000278,1,0.388566
724,0.0633,,,0.333933,0.0002896,1,0.41798
753,0.0657,,,0.349489,0.0003012,1,0.470756
782,0.0681,,,0.367473,0.0003128,1,0.489117
811,0.0705,,,0.334451,0.0003244,1,0.401709
840,0.0730,,,0.33446,0.000336,1,0.379102
869,0.0754,,,0.325973,0.0003476,1,0.295292
898,0.0778,,,0.331212,0.0003592,1,0.311009
907,0.0834,0.323846,0.345345,,,1,
927,0.0854,,,0.327845,0.0003708,2,0.337107
956,0.0878,,,0.31698,0.0003824,2,0.242427
985,0.0903,,,0.326405,0.000394,2,0.34821
