step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
28,0.0001,,,1.3472,1.4e-06,0,1.42704
57,0.0017,,,1.25894,2.85e-06,0,1.30452
86,0.0033,,,1.20411,4.3e-06,0,0.81375
115,0.0049,,,1.17232,5.75e-06,0,0.69517
144,0.0065,,,1.08734,7.2e-06,0,0.52936
173,0.0081,,,1.04761,8.65e-06,0,0.461392
202,0.0097,,,0.992163,1.01e-05,0,0.37413
231,0.0113,,,0.934585,1.155e-05,0,0.339885
260,0.0129,,,0.942137,1.3e-05,0,0.336243
289,0.0146,,,0.850036,1.445e-05,0,0.334151
318,0.0162,,,0.819057,1.59e-05,0,0.399262
347,0.0178,,,0.755152,1.735e-05,0,0.339487
376,0.0194,,,0.766905,1.88e-05,0,0.605146
405,0.0209,,,0.731688,2.025e-05,0,0.55071
434,0.0225,,,0.625114,2.17e-05,0,0.566798
453,0.0270,0.609316,0.964214,,,0,
463,0.0279,,,0.61188,2.315e-05,1,0.747628
492,0.0295,,,0.583766,2.46e-05,1,0.436108
521,0.0311,,,0.572839,2.605e-05,1,0.87279
550,0.0327,,,0.5241,2.75e-05,1,0.903304
579,0.0342,,,0.549051,2.895e-05,1,0.630987
608,0.0358,,,0.503095,3.04e-05,1,0.75978
637,0.0374,,,0.46808,3.185e-05,1,0.523302
666,0.0390,,,0.465234,3.33e-05,1,1.36187
695,0.0406,,,0.458028,3.475e-05,1,0.581947
724,0.0422,,,0.437586,3.62e-05,1,1.0029
753,0.0438,,,0.457549,3.765e-05,1,0.256633
782,0.0454,,,0.480361,3.91e-05,1,0.866701
811,0.0471,,,0.423291,4.055e-05,1,0.570192
840,0.0487,,,0.418355,4.2e-05,1,0.890715
869,0.0503,,,0.399635,4.345e-05,1,0.236638
898,0.0519,,,0.412857,4.49e-05,1,0.982766
907,0.0558,0.391289,0.484684,,,1,
927,0.0572,,,0.416954,4.635e-05,2,1.0051
956,0.0588,,,0.387479,4.78e-05,2,0.493795
985,0.0604,,,0.391169,4.925e-05,2,0.73713
1014,0.0620,,,0.394217,5e-05,2,0.612777
1043,0.0637,,,0.384639,5e-05,2,0.284629
1072,0.0653,,,0.373017,4.99999e-05,2,0.337061
1101,0.0669,,,0.395849,4.99999e-05,2,0.632498
1130,0.0685,,,0.360087,4.99998e-05,2,0.658445
1159,0.0701,,,0.360826,4.99997e-05,2,0.262857
1188,0.0717,,,0.354321,4.99996e-05,2,0.400585
1217,0.0733,,,0.379231,4.99995e-05,2,0.39311
1246,0.0749,,,0.355791,4.99993e-05,2,0.227673
1275,0.0765,,,0.387546,4.99991e-05,2,1.01008
1304,0.0782,,,0.376494,4.99989e-05,2,0.379191
1333,0.0798,,,0.366273,4.99987e-05,2,0.260129
1361,0.0847,0.348724,0.374917,,,2,
1362,0.0851,,,0.351457,4.99985e-05,3,0.51507
1391,0.0868,,,0.357106,4.99983e-05,3,0.466952
1420,0.0884,,,0.354791,4.9998e-05,3,0.708899
1449,0.0901,,,0.336229,4.99977e-05,3,0.503909
1478,0.0917,,,0.357123,4.99974e-05,3,0.551631
1507,0.0933,,,0.349337,4.99971e-05,3,0.29831
1536,0.0951,,,0.338865,4.99967e-05,3,0.407351
1565,0.0967,,,0.347978,4.99964e-05,3,0.932665
1594,0.0985,,,0.355751,4.9996e-05,3,0.499425
1623,0.1002,,,0.335539,4.99956e-05,3,0.472176
1652,0.1018,,,0.341398,4.99952e-05,3,0.344064
1681,0.1034,,,0.329877,4.99947e-05,3,0.306699
1710,0.1050,,,0.340215,4.99943e-05,3,0.471594
1739,0.1066,,,0.328375,4.99938e-05,3,0.43269
1768,0.1082,,,0.343735,4.99933e-05,3,0.612731
1797,0.1098,,,0.36177,4.99928e-05,3,0.705359
1815,0.1142,0.330231,0.347426,,,3,
1826,0.1151,,,0.353785,4.99922e-05,4,0.404173
1855,0.1167,,,0.336785,4.99917e-05,4,0.483709
1884,0.1183,,,0.326674,4.99911e-05,4,0.35829
1913,0.1199,,,0.337095,4.99905e-05,4,0.892374
1942,0.1215,,,0.331446,4.99899e-05,4,0.365716
1971,0.1232,,,0.33177,4.99892e-05,4,0.473943
2000,0.1248,,,0.334361,4.99886e-05,4,0.530394
2029,0.1264,,,0.313201,4.99879e-05,4,0.203961
2058,0.1280,,,0.318879,4.99872e-05,4,0.803759
2087,0.1296,,,0.343977,4.99865e-05,4,0.319888
2116,0.1312,,,0.326303,4.99858e-05,4,0.314056
2145,0.1328,,,0.33145,4.9985e-05,4,0.247706
2174,0.1344,,,0.336023,4.99843e-05,4,0.402625
2203,0.1360,,,0.320395,4.99835e-05,4,0.258968
2232,0.1377,,,0.327369,4.99827e-05,4,0.417128
2261,0.1392,,,0.316841,4.99819e-05,4,0.677577
2269,0.1431,0.322041,0.333164,,,4,
2290,0.1446,,,0.310739,4.9981e-05,5,0.314268
2319,0.1462,,,0.323509,4.99802e-05,5,0.282484
2348,0.1478,,,0.338989,4.99793e-05,5,0.278109
2377,0.1494,,,0.328683,4.99784e-05,5,0.459549
2406,0.1510,,,0.314453,4.99775e-05,5,0.447469
2435,0.1526,,,0.324295,4.99765e-05,5,0.439608
2464,0.1542,,,0.32072,4.99756e-05,5,0.69859
2493,0.1559,,,0.313688,4.99746e-05,5,0.710589
2522,0.1575,,,0.327572,4.99736e-05,5,0.358884
2551,0.1591,,,0.312404,4.99726e-05,5,0.66022
2580,0.1607,,,0.320786,4.99715e-05,5,0.616054
2609,0.1623,,,0.332994,4.99705e-05,5,0.342966
2638,0.1639,,,0.334881,4.99694e-05,5,0.484415
2667,0.1655,,,0.337233,4.99683e-05,5,0.633839
2696,0.1671,,,0.320912,4.99672e-05,5,0.274361
2723,0.1720,0.314758,0.32606,,,5,
2725,0.1725,,,0.335227,4.99661e-05,6,0.186832
2754,0.1741,,,0.316523,4.99649e-05,6,0.495999
2783,0.1757,,,0.307566,4.99637e-05,6,0.393964
2812,0.1773,,,0.31843,4.99626e-05,6,0.364778
2841,0.1789,,,0.301577,4.99614e-05,6,0.417315
2870,0.1805,,,0.338919,4.99601e-05,6,0.302597
2899,0.1821,,,0.322295,4.99589e-05,6,0.307283
2928,0.1837,,,0.325328,4.99576e-05,6,0.260977
2957,0.1854,,,0.338314,4.99563e-05,6,0.285922
2986,0.1870,,,0.32811,4.9955e-05,6,0.215214
3015,0.1886,,,0.343674,4.99537e-05,6,0.33828
3044,0.1902,,,0.332849,4.99524e-05,6,0.263891
3073,0.1918,,,0.332622,4.9951e-05,6,0.319601
3102,0.1934,,,0.309392,4.99496e-05,6,0.544869
3131,0.1950,,,0.344689,4.99482e-05,6,0.201308
3160,0.1966,,,0.296375,4.99468e-05,6,0.491058
3177,0.2009,0.311824,0.321135,,,6,
3189,0.2019,,,0.339876,4.99454e-05,7,0.275064
3218,0.2035,,,0.307038,4.99439e-05,7,0.224562
3247,0.2052,,,0.304394,4.99424e-05,7,0.348158
3276,0.2068,,,0.311063,4.99409e-05,7,0.223342
3305,0.2084,,,0.32444,4.99394e-05,7,0.27488
3334,0.2100,,,0.313261,4.99379e-05,7,0.468399
3363,0.2116,,,0.316386,4.99363e-05,7,0.254626
