step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
28,0.0006,,,1.28247,1.12e-05,0,1.0278
57,0.0190,,,1.0772,2.28e-05,0,0.66354
86,0.0374,,,0.897754,3.44e-05,0,0.537556
115,0.0557,,,0.796069,4.6e-05,0,0.580785
144,0.0740,,,0.836667,5.76e-05,0,0.53569
173,0.0923,,,0.622979,6.92e-05,0,0.991966
202,0.1106,,,0.545662,8.08e-05,0,0.712326
231,0.1290,,,0.471133,9.24e-05,0,0.748463
260,0.1473,,,0.440804,0.000104,0,1.6244
289,0.1656,,,0.4489,0.0001156,0,0.753907
318,0.1839,,,0.457561,0.0001272,0,0.686455
347,0.2022,,,0.382801,0.0001388,0,0.61896
376,0.2206,,,0.424433,0.0001504,0,0.69503
405,0.2389,,,0.520348,0.000162,0,0.52083
434,0.2573,,,0.326101,0.0001736,0,0.506234
463,0.2756,,,0.382291,0.0001852,0,0.806098
492,0.2939,,,0.387465,0.0001968,0,0.463175
521,0.3123,,,0.37883,0.0002084,0,0.519865
550,0.3306,,,0.346688,0.00022,0,0.519506
579,0.3490,,,0.338805,0.0002316,0,0.534128
608,0.3673,,,0.393912,0.0002432,0,0.49194
637,0.3856,,,0.365209,0.0002548,0,0.497471
666,0.4040,,,0.402641,0.0002664,0,0.442981
695,0.4223,,,0.30221,0.000278,0,0.504476
724,0.4406,,,0.374149,0.0002896,0,0.514069
753,0.4589,,,0.352556,0.0003012,0,0.508335
782,0.4772,,,0.35308,0.0003128,0,0.347657
811,0.4956,,,0.367433,0.0003244,0,0.6633
840,0.5139,,,0.324971,0.000336,0,0.435318
869,0.5323,,,0.342297,0.0003476,0,0.391885
898,0.5506,,,0.396375,0.0003592,0,0.56293
927,0.5690,,,0.297595,0.0003708,0,0.389787
956,0.5874,,,0.363432,0.0003824,0,0.435935
985,0.6058,,,0.373426,0.000394,0,0.545871
1014,0.6241,,,0.346608,0.0004,0,0.334408
1043,0.6425,,,0.403158,0.0004,0,0.458516
1072,0.6609,,,0.322949,0.0004,0,0.337535
1101,0.6793,,,0.417575,0.0004,0,0.425882
1130,0.6977,,,0.32171,0.0004,0,0.307519
1159,0.7161,,,0.324303,0.0004,0,0.303104
1188,0.7345,,,0.334632,0.0004,0,0.29667
1217,0.7528,,,0.33716,0.0004,0,0.269233
1246,0.7712,,,0.34038,0.0004,0,0.480801
1275,0.7896,,,0.406513,0.0004,0,0.319827
1304,0.8079,,,0.31906,0.0004,0,0.301741
1333,0.8263,,,0.303195,0.0004,0,0.281389
1362,0.8447,,,0.35524,0.0004,0,0.364743
1391,0.8630,,,0.367468,0.0004,0,0.241148
1420,0.8813,,,0.332677,0.0004,0,0.309876
1449,0.8997,,,0.324179,0.0004,0,0.296234
1478,0.9180,,,0.32541,0.0004,0,0.289414
1507,0.9364,,,0.342995,0.0004,0,0.231424
1536,0.9547,,,0.326602,0.0004,0,0.277007
1565,0.9731,,,0.327244,0.0004,0,0.3181
1594,0.9915,,,0.318629,0.0004,0,0.327313
1623,1.0098,,,0.333659,0.0004,0,0.313863
1652,1.0282,,,0.315416,0.0004,0,0.38075
1681,1.0466,,,0.334402,0.0004,0,0.265845
1710,1.0650,,,0.323548,0.0004,0,0.354083
1739,1.0833,,,0.372653,0.0004,0,0.388006
1768,1.1017,,,0.358466,0.0004,0,0.238316
1797,1.1201,,,0.331163,0.0004,0,0.274299
1826,1.1385,,,0.332916,0.0004,0,0.317425
1855,1.1569,,,0.34702,0.0004,0,0.236627
1884,1.1752,,,0.320029,0.0004,0,0.260925
1913,1.1936,,,0.348252,0.0004,0,0.262576
1942,1.2120,,,0.450582,0.0004,0,0.282425
1971,1.2304,,,0.294916,0.0004,0,0.182368
2000,1.2488,,,0.297769,0.0004,0,0.265833
2029,1.2672,,,0.391785,0.0004,0,0.318322
2058,1.2856,,,0.349756,0.0004,0,0.239741
2087,1.3040,,,0.327401,0.0004,0,0.255079
2116,1.3224,,,0.332899,0.0004,0,0.242944
2145,1.3407,,,0.341826,0.000399999,0,0.240344
2174,1.3591,,,0.330135,0.000399999,0,0.346068
2203,1.3775,,,0.307976,0.000399999,0,0.217392
2232,1.3959,,,0.333341,0.000399999,0,0.193015
2261,1.4142,,,0.308723,0.000399999,0,0.216195
2290,1.4326,,,0.369138,0.000399999,0,0.35513
2319,1.4510,,,0.33001,0.000399999,0,0.287048
2348,1.4694,,,0.376342,0.000399999,0,0.270188
2377,1.4877,,,0.406402,0.000399999,0,0.270546
2406,1.5061,,,0.321708,0.000399999,0,0.335865
2435,1.5245,,,0.3706,0.000399999,0,0.425121
2464,1.5430,,,0.326106,0.000399999,0,0.251297
2493,1.5613,,,0.341331,0.000399999,0,0.296129
2522,1.5797,,,0.353798,0.000399999,0,0.2444
2551,1.5981,,,0.342356,0.000399999,0,0.199057
2580,1.6165,,,0.354244,0.000399999,0,0.354102
2609,1.6349,,,0.303767,0.000399999,0,0.278375
2638,1.6533,,,0.274069,0.000399999,0,0.260603
2667,1.6717,,,0.338803,0.000399999,0,0.326306
2696,1.6900,,,0.300257,0.000399999,0,0.18593
2725,1.7084,,,0.344469,0.000399999,0,0.234716
2754,1.7268,,,0.334733,0.000399999,0,0.209003
2783,1.7452,,,0.297983,0.000399999,0,0.212541
2812,1.7636,,,0.333821,0.000399999,0,0.29847
2841,1.7819,,,0.357131,0.000399999,0,0.236838
2870,1.8004,,,0.320793,0.000399999,0,0.320604
2899,1.8187,,,0.312979,0.000399999,0,0.240227
2928,1.8371,,,0.300729,0.000399999,0,0.211212
2957,1.8554,,,0.316318,0.000399999,0,0.278641
2986,1.8738,,,0.37814,0.000399998,0,0.227088
3015,1.8922,,,0.339644,0.000399998,0,0.237136
3044,1.9106,,,0.34164,0.000399998,0,0.245647
3073,1.9290,,,0.342952,0.000399998,0,0.279864
3102,1.9474,,,0.31292,0.000399998,0,0.264557
3131,1.9657,,,0.325776,0.000399998,0,0.292765
3160,1.9841,,,0.286277,0.000399998,0,0.216451
3189,2.0025,,,0.382239,0.000399998,0,0.327984
3218,2.0208,,,0.377888,0.000399998,0,0.253288
3247,2.0392,,,0.343065,0.000399998,0,0.238566
3276,2.0576,,,0.408603,0.000399998,0,0.305013
3305,2.0760,,,0.322601,0.000399998,0,0.288352
3334,2.0944,,,0.350533,0.000399998,0,0.208193
3363,2.1127,,,0.368468,0.000399998,0,0.234306
3392,2.1311,,,0.308965,0.000399998,0,0.214603
3421,2.1495,,,0.37414,0.000399998,0,0.23947
3450,2.1679,,,0.373437,0.000399998,0,0.735887
3479,2.1863,,,0.312884,0.000399998,0,0.349771
3508,2.2046,,,0.445725,0.000399998,0,0.373586
3537,2.2230,,,0.332495,0.000399998,0,0.225444
3566,2.2413,,,0.360342,0.000399997,0,0.290703
3595,2.2597,,,0.315567,0.000399997,0,0.223382
3624,2.2781,,,0.313789,0.000399997,0,0.293555
3630,2.8423,0.325637,0.383165,,,0,
3653,2.8592,,,0.362885,0.000399997,1,0.258116
3682,2.8775,,,0.268535,0.000399997,1,0.214122
3711,2.8959,,,0.346927,0.000399997,1,0.290623
3740,2.9143,,,0.325297,0.000399997,1,0.235038
3769,2.9328,,,0.341347,0.000399997,1,0.249673
3798,2.9512,,,0.282434,0.000399997,1,0.212991
3827,2.9696,,,0.332039,0.000399997,1,0.311509
3856,2.9879,,,0.301448,0.000399997,1,0.22168
3885,3.0063,,,0.343449,0.000399997,1,0.418923
3914,3.0247,,,0.420752,0.000399997,1,0.298956
3943,3.0431,,,0.313853,0.000399997,1,0.242894
3972,3.0615,,,0.33736,0.000399997,1,0.197564
4001,3.0799,,,0.375605,0.000399997,1,0.269781
4030,3.0983,,,0.329435,0.000399996,1,0.331397
4059,3.1167,,,0.32338,0.000399996,1,0.200129
4088,3.1351,,,0.272887,0.000399996,1,0.211022
4117,3.1535,,,0.356203,0.000399996,1,0.26487
4146,3.1719,,,0.315872,0.000399996,1,0.300617
4175,3.1902,,,0.338688,0.000399996,1,0.347056
4204,3.2086,,,0.333785,0.000399996,1,0.254989
4233,3.2270,,,0.373229,0.000399996,1,0.263442
4262,3.2454,,,0.352513,0.000399996,1,0.244221
4291,3.2637,,,0.3056,0.000399996,1,0.211558
4320,3.2821,,,0.38365,0.000399996,1,0.394548
4349,3.3005,,,0.348326,0.000399996,1,0.256808
4378,3.3189,,,0.301661,0.000399996,1,0.301385
4407,3.3373,,,0.311364,0.000399996,1,0.285867
4436,3.3557,,,0.324418,0.000399995,1,0.231175
4465,3.3741,,,0.25253,0.000399995,1,0.224591
4494,3.3925,,,0.278234,0.000399995,1,0.17774
4523,3.4108,,,0.318457,0.000399995,1,0.198042
4552,3.4292,,,0.363646,0.000399995,1,0.262561
4581,3.4476,,,0.325088,0.000399995,1,0.205001
4610,3.4660,,,0.372468,0.000399995,1,0.33935
4639,3.4844,,,0.376016,0.000399995,1,0.282134
4668,3.5027,,,0.344318,0.000399995,1,0.323579
4697,3.5211,,,0.269016,0.000399995,1,0.227664
