step,hours,val_loss,train_loss_epoch,train_loss_step,lr-AdamW,epoch,gradient_2norm
28,0.0001,,,1.21494,1.12e-05,0,0.962104
57,0.0017,,,1.00782,2.28e-05,0,0.534739
86,0.0033,,,0.947922,3.44e-05,0,0.446309
115,0.0050,,,0.864978,4.6e-05,0,0.38398
144,0.0066,,,0.734838,5.76e-05,0,0.55791
173,0.0083,,,0.631237,6.92e-05,0,1.11185
202,0.0099,,,0.549392,8.08e-05,0,1.31912
231,0.0115,,,0.49632,9.24e-05,0,0.404084
260,0.0132,,,0.481757,0.000104,0,0.498287
289,0.0148,,,0.43505,0.0001156,0,0.500647
318,0.0165,,,0.417024,0.0001272,0,0.340707
347,0.0181,,,0.38726,0.0001388,0,0.30001
376,0.0197,,,0.412463,0.0001504,0,0.311247
405,0.0214,,,0.410331,0.000162,0,0.659039
434,0.0230,,,0.354672,0.0001736,0,0.583762
453,0.0275,0.358492,0.636585,,,0,
463,0.0284,,,0.356845,0.0001852,1,0.456648
492,0.0301,,,0.368014,0.0001968,1,0.50509
521,0.0317,,,0.371229,0.0002084,1,0.507725
550,0.0333,,,0.337079,0.00022,1,0.581841
579,0.0349,,,0.368322,0.0002316,1,0.491801
608,0.0366,,,0.357905,0.0002432,1,0.307545
637,0.0382,,,0.329526,0.0002548,1,0.414983
666,0.0398,,,0.339618,0.0002664,1,0.436365
695,0.0414,,,0.344385,0.000278,1,0.375562
724,0.0430,,,0.334306,0.0002896,1,0.413223
753,0.0446,,,0.349337,0.0003012,1,0.411823
782,0.0462,,,0.365255,0.0003128,1,0.378334
811,0.0478,,,0.335099,0.0003244,1,0.419855
840,0.0494,,,0.334748,0.000336,1,0.38973
869,0.0510,,,0.326185,0.0003476,1,0.297427
898,0.0526,,,0.331793,0.0003592,1,0.336812
907,0.0565,0.325016,0.345489,,,1,
927,0.0580,,,0.327952,0.0003708,2,0.329116
956,0.0596,,,0.317594,0.0003824,2,0.269883
985,0.0612,,,0.324663,0.000394,2,0.258885
1014,0.0628,,,0.328618,0.0004,2,0.323442
1043,0.0644,,,0.326177,0.0004,2,0.256333
1072,0.0660,,,0.320462,0.0004,2,0.260918
1101,0.0676,,,0.337797,0.000399999,2,0.379104
1130,0.0692,,,0.304944,0.000399998,2,0.276259
1159,0.0708,,,0.317001,0.000399998,2,0.293074
1188,0.0724,,,0.304365,0.000399997,2,0.253243
1217,0.0740,,,0.317358,0.000399996,2,0.223655
1246,0.0756,,,0.308638,0.000399994,2,0.292911
1275,0.0772,,,0.327402,0.000399993,2,0.438324
1304,0.0788,,,0.311149,0.000399992,2,0.266538
1333,0.0804,,,0.324051,0.00039999,2,0.287995
1361,0.0854,0.306978,0.320343,,,2,
1362,0.0859,,,0.307536,0.000399988,3,0.257811
1391,0.0875,,,0.318378,0.000399986,3,0.184689
1420,0.0891,,,0.318227,0.000399984,3,0.381716
1449,0.0908,,,0.296101,0.000399982,3,0.205396
1478,0.0924,,,0.320611,0.000399979,3,0.298861
1507,0.0941,,,0.310383,0.000399977,3,0.32242
1536,0.0957,,,0.304556,0.000399974,3,0.19005
1565,0.0974,,,0.314924,0.000399971,3,0.242145
1594,0.0990,,,0.31996,0.000399968,3,0.263808
1623,0.1007,,,0.301613,0.000399965,3,0.263266
1652,0.1024,,,0.309702,0.000399961,3,0.294625
1681,0.1040,,,0.304372,0.000399958,3,0.214346
1710,0.1056,,,0.303927,0.000399954,3,0.261547
1739,0.1072,,,0.301379,0.00039995,3,0.256703
1768,0.1088,,,0.315233,0.000399946,3,0.31393
1797,0.1104,,,0.318189,0.000399942,3,0.188455
1815,0.1148,0.302128,0.310732,,,3,
1826,0.1158,,,0.326651,0.000399938,4,0.307834
1855,0.1174,,,0.305946,0.000399933,4,0.23028
1884,0.1190,,,0.299089,0.000399929,4,0.210161
1913,0.1206,,,0.310775,0.000399924,4,0.250865
1942,0.1222,,,0.304562,0.000399919,4,0.219338
1971,0.1238,,,0.300777,0.000399914,4,0.225589
2000,0.1254,,,0.310922,0.000399909,4,0.245076
2029,0.1270,,,0.290481,0.000399903,4,0.202986
2058,0.1286,,,0.29601,0.000399898,4,0.343596
2087,0.1302,,,0.317059,0.000399892,4,0.176369
2116,0.1318,,,0.301772,0.000399886,4,0.193611
2145,0.1334,,,0.306924,0.00039988,4,0.290648
2174,0.1350,,,0.312389,0.000399874,4,0.194625
2203,0.1366,,,0.294545,0.000399868,4,0.161066
2232,0.1382,,,0.302397,0.000399862,4,0.232984
2261,0.1397,,,0.293155,0.000399855,4,0.22614
2269,0.1436,0.300649,0.305925,,,4,
2290,0.1452,,,0.291494,0.000399848,5,0.242067
2319,0.1468,,,0.291482,0.000399841,5,0.213642
2348,0.1484,,,0.319651,0.000399834,5,0.2986
2377,0.1500,,,0.30978,0.000399827,5,0.279548
2406,0.1516,,,0.29524,0.00039982,5,0.186689
2435,0.1532,,,0.32204,0.000399812,5,0.489345
2464,0.1548,,,0.317134,0.000399804,5,0.27956
2493,0.1564,,,0.313752,0.000399797,5,0.235644
2522,0.1580,,,0.32374,0.000399789,5,0.196357
2551,0.1596,,,0.312195,0.000399781,5,0.284017
2580,0.1612,,,0.314228,0.000399772,5,0.270054
2609,0.1628,,,0.328117,0.000399764,5,0.166055
2638,0.1644,,,0.325948,0.000399755,5,0.155664
2667,0.1660,,,0.327126,0.000399746,5,0.181707
2696,0.1676,,,0.315255,0.000399738,5,0.191514
2723,0.1724,0.317668,0.315972,,,5,
2725,0.1730,,,0.32916,0.000399729,6,0.209391
2754,0.1746,,,0.345425,0.000399719,6,0.369377
2783,0.1762,,,0.322699,0.00039971,6,0.338648
2812,0.1778,,,0.316698,0.0003997,6,0.171702
2841,0.1794,,,0.301026,0.000399691,6,0.186606
2870,0.1810,,,0.335556,0.000399681,6,0.280909
2899,0.1826,,,0.331615,0.000399671,6,0.221894
2928,0.1842,,,0.340549,0.000399661,6,0.253165
2957,0.1858,,,0.346673,0.000399651,6,0.221185
2986,0.1874,,,0.335828,0.00039964,6,0.241163
3015,0.1890,,,0.340389,0.00039963,6,0.157581
3044,0.1906,,,0.355002,0.000399619,6,0.380915
3073,0.1922,,,0.341054,0.000399608,6,0.381711
3102,0.1938,,,0.311753,0.000399597,6,0.234047
3131,0.1954,,,0.345145,0.000399586,6,0.264841
3160,0.1970,,,0.299568,0.000399574,6,0.290861
