tag,step,value
val_RMSE/d2m,453,1.07307
val_RMSE/d2m,907,0.763959
val_RMSE/d2m,1361,0.634441
val_RMSE/d2m,1815,0.626499
val_RMSE/d2m,2269,0.592827
val_RMSE/d2m,2723,0.636062
val_RMSE/d2m,3177,0.592323
val_RMSE/d2m,3631,0.617908
val_RMSE/d2m,4085,0.696782
val_RMSE/d2m,4539,0.843358
val_RMSE/d2m,4993,1.99304
val_RMSE/d2m,5447,0.820499
val_RMSE/d2m,5901,4.73599
val_RMSE/d2m,6355,1.12305
val_RMSE/d2m,6809,0.649763
val_RMSE/d2m,7263,0.893907
val_RMSE/d2m,7717,0.699664
val_RMSE/d2m,8171,0.816723
val_RMSE/d2m,8625,0.930473
val_RMSE/d2m,9079,0.867943
val_RMSE/d2m,9533,1.04651
val_RMSE/d2m,9987,1.09411
val_RMSE/d2m,10441,1.2771
val_RMSE/d2m,10895,1.23171
val_RMSE/d2m,11349,1.10952
val_RMSE/d2m,11803,1.10539
val_RMSE/d2m,12257,1.08691
val_RMSE/d2m,12711,1.22678
val_RMSE/d2m,13165,1.53283
val_RMSE/d2m,13619,1.62215
val_RMSE/d2m,14073,1.44796
val_RMSE/d2m,14527,1.37825
val_RMSE/d2m,14981,1.14881
val_RMSE/d2m,15435,1.32773
val_RMSE/d2m,15889,1.37693
val_RMSE/d2m,16343,1.31799
val_RMSE/d2m,16797,1.036
val_RMSE/d2m,17251,1.02557
val_RMSE/d2m,17705,1.02275
val_RMSE/d2m,18159,1.02943
val_RMSE/d2m,18613,1.06887
val_RMSE/d2m,19067,1.08157
val_RMSE/d2m,19521,1.18703
val_RMSE/d2m,19975,1.14386
val_RMSE/d2m,20429,1.12234
val_RMSE/d2m,20883,1.14943
val_RMSE/d2m,21337,4.33636
val_RMSE/d2m,21791,1.77669
val_RMSE/d2m,22245,20.6791
val_RMSE/d2m,22699,14.2666
val_RMSE/d2m,23153,7.75351
val_RMSE/d2m,23607,74.67
val_RMSE/d2m,24061,56.0832
val_RMSE/d2m,24515,49.4907
val_RMSE/d2m,24969,51.9917
val_RMSE/d2m,25423,40.5646
val_RMSE/d2m,25877,37.8162
val_RMSE/d2m,26331,37.0865
val_RMSE/d2m,26785,37.0395
val_RMSE/d2m,27239,36.8238
val_RMSE/d2m,27693,36.7926
val_RMSE/d2m,28147,35.9
val_RMSE/d2m,28601,33.3493
val_RMSE/d2m,29055,31.3914
val_RMSE/d2m,29509,29.1744
val_RMSE/d2m,29963,30.0928
val_RMSE/d2m,30417,31.035
val_RMSE/d2m,30871,30.5596
val_RMSE/d2m,31325,32.153
val_RMSE/d2m,31779,30.3785
val_RMSE/d2m,32233,30.3879
val_RMSE/d2m,32687,29.3982
val_RMSE/d2m,33141,29.2648
val_RMSE/d2m,33595,27.8902
